fiscal_year_ended,taxing_jurisdiction,jurisdiction_code,amount_distributed
2017,City of Olean Sales and Use Tax,82,4106984
2017,City of Oneida Sales and Use Tax,83,4608928
2017,City of Oswego Sales and Use Tax,84,13626621
2017,City of Plattsburgh Sales and Use Tax,85,0
2017,City of Rome Sales and Use Tax,86,7259835
2017,City of Salamanca Sales and Use Tax,87,576121
2017,City of Saratoga Springs Sales and Use Tax,88,11948083
2017,City of Schenectady Sales and Use Tax,89,0
2017,City of Sherrill Sales and Use Tax,90,0
2017,City of Troy Sales and Use Tax,91,0
2017,City of Utica Sales and Use Tax,92,9881840
2017,City of White Plains Sales and Use Tax,93,49620020
2017,City of Yonkers Sales and Use Tax,94,57975949
2017,City of Yonkers Special Sales and Use Tax,95,28982031
2017,City of Newburgh Consumer Utilities,96,1890464
2017,City of Port Jervis Consumer Utilities,97,218354
2017,Albany City School District Consumer Utilities,98,3630450
2017,Batavia City School District Consumer Utilities,99,618101
2017,Cohoes City School District Consumer Utilities,100,448877
2017,Glen Cove City School District Consumer Utilities,101,1363688
2017,Gloversville City School District Consumer Utilities,102,430412
2017,Hornell City School District Consumer Utilities,103,210383
2017,Hudson City School District Consumer Utilities,104,614498
2017,Johnstown City School District Consumer Utilities,105,382331
2017,Lackawanna City School District Consumer Utilities,106,454356
2017,Long Beach City School District Consumer Utilities,107,1502132
2017,Middletown City School District Consumer Utilities,108,1417245
2017,Mt. Vernon City School District Consumer Utilities,109,2228259
2017,New Rochelle City School District Consumer Utilities,110,2702149
2017,Newburgh City School District Consumer Utilities,111,1915435
2017,Niagara Falls City School District Consumer Utilities,112,1667223
2017,Ogdensburg City School District Consumer Utilities,113,340579
2017,Peekskill City School District Consumer Utilities,114,809649
2017,Rensselaer City School District Consumer Utilities,115,376685
2017,Rye City School District Consumer Utilities,116,651837
2017,Schenectady City School District Consumer Utilities,117,2169749
2017,Troy City School District Consumer Utilities,118,1324824
2017,Utica City School District Consumer Utilities,119,1618894
2017,Watertown City School District Consumer Utilities,120,885269
2017,Watervliet City School District Consumer Utilities,121,303199
2017,White Plains City School District Consumer Utilities,122,3419486
2017,New York City Convention Center Development Corporation Hotel Occupancy,123,54483770
2017,"City of Lockport Admissions, Club Dues, Food, Drink, Amusements and Utilities Services",124,2230049
2017,City of Long Beach Hotel Occupancy and Restaurant Meals,125,2217776
2017,Metropolitan Transportation Authority Aid Trust Account Passenger Car Rental,126,53628386
2017,"City of Niagara Falls Admissions, Club Dues, Food, Drink, Amusements, Hotel Occupancy, Utilities Services",127,6915315
2018,New York State Sales and Use Tax,1,13830380736
2018,New York City Sales and Use Tax,2,7527108425
2018,Metropolitan Commuter Transportation District Sales and Use Tax,3,945105616
2018,Albany County Sales and Use Tax,4,260775584
2018,Allegany County Sales and Use Tax,5,19978264
2018,Broome County Sales and Use Tax,6,126900590
2018,Cattaraugus County Sales and Use Tax,7,36820362
2018,Cayuga County Sales and Use Tax,8,37529428
2018,Chautauqua County Sales and Use Tax,9,64758180
2018,Chemung County Sales and Use Tax,10,57401963
2018,Chenango County Sales and Use Tax,11,22318103
2018,Clinton County Sales and Use Tax,12,53254213
2018,Columbia County Sales and Use Tax,13,40042116
2018,Cortland County Sales and Use Tax,14,28853430
2018,Delaware County Sales and Use Tax,15,22024687
2018,Dutchess County Sales and Use Tax,16,183718347
2018,Erie County Sales and Use Tax,17,770580503
2018,Essex County Sales and Use Tax,18,29198925
2018,Franklin County Sales and Use Tax,19,22433355
2018,Fulton County Sales and Use Tax,20,20905972
2018,Genesee County Sales and Use Tax,21,38958885
2018,Greene County Sales and Use Tax,22,31324913
2018,Hamilton County Sales and Use Tax,23,3639723
2018,Herkimer County Sales and Use Tax,24,30613007
2018,Jefferson County Sales and Use Tax,25,75390527
2018,Lewis County Sales and Use Tax,26,12035304
2018,Livingston County Sales and Use Tax,27,32143300
2018,Madison County Sales and Use Tax,28,29500033
2018,Monroe County Sales and Use Tax,29,495109218
2018,Montgomery County Sales and Use Tax,30,29399381
2018,Nassau County Sales and Use Tax,31,1169933711
2018,Niagara County Sales and Use Tax,32,119181949
