block,place_fips
360010006003010,3601000
360010006003011,3601000
360010006003012,3601000
360010006003013,3601000
360010006003014,3601000
360010006003015,3601000
360010006003016,3601000
360010006003017,3601000
360010007001000,3601000
360010007001001,3601000
360010007001002,3601000
360010007001003,3601000
360010007001004,3601000
360010007001005,3601000
360010007001006,3601000
360010007001007,3601000
360010007001008,3601000
360010007001009,3601000
360010007001010,3601000
360010007001011,3601000
360010007001012,3601000
360010007002000,3601000
360010007002001,3601000
360010007002002,3601000
360010007002003,3601000
360010007002004,3601000
360010007002005,3601000
360010007003000,3601000
360010007003001,3601000
360010007003002,3601000
360010007003003,3601000
360010007003004,3601000
360010007003005,3601000
360010007003006,3601000
360010007003007,3601000
360010007003008,3601000
360010007003009,3601000
360010007003010,3601000
360010007003011,3601000
360010007003012,3601000
360010007004000,3601000
360010007004001,3601000
360010007004002,3601000
360010007004003,3601000
360010007004004,3601000
360010007004005,3601000
360010008001000,3601000
360010008001001,3601000
360010008001002,3601000
360010008001003,3601000
360010008001004,3601000
360010008001005,3601000
360010008001006,3601000
360010008002000,3601000
360010008002001,3601000
360010008002002,3601000
360010008002003,3601000
360010008002004,3601000
360010008002005,3601000
360010008002006,3601000
360010008003000,3601000
360010008003001,3601000
360010008003002,3601000
360010008003003,3601000
360010008003004,3601000
360010008003005,3601000
360010008003006,3601000
360010011001000,3601000
360010011001001,3601000
360010011001002,3601000
360010011001003,3601000
360010011001004,3601000
360010011001005,3601000
360010011001006,3601000
360010011001007,3601000
360010011001008,3601000
360010011001009,3601000
360010011001010,3601000
360010011001011,3601000
360010011001012,3601000
360010011001013,3601000
360010011001014,3601000
360010011001015,3601000
360010011001016,3601000
360010011001017,3601000
360010011001018,3601000
360010011001019,3601000
360010011001020,3601000
360010011001021,3601000
360010011001022,3601000
360010011001023,3601000
360010011001024,3601000
360010011001025,3601000
360010011001026,3601000
360010011001027,3601000
360010011001028,3601000
360010011001029,3601000
360010011001030,3601000
360010011001031,3601000
360010011001032,3601000
360010011001033,3601000
360010011001034,3601000
360010011001035,3601000
360010011001036,3601000
360010011001037,3601000
360010011001038,3601000
360010011001039,3601000
360010011001040,3601000
360010011001041,3601000
360010011001042,3601000
360010011001043,3601000
360010011001044,3601000
360010011001045,3601000
360010011001046,3601000
360010011001047,3601000
360010011001048,3601000
360010011001049,3601000
360010011001050,3601000
360010011001051,3601000
360010011001052,3601000
360010011001053,3601000
360010011001054,3601000
360010011001055,3601000
360010011001056,3601000
360010011001057,3601000
360010011001058,3601000
360010011001059,3601000
360010011001060,3601000
360010011001061,3601000
360010011001062,3601000
360010011001063,3601000
360010011001064,3601000
360010011001065,3601000
360010011001066,3601000
360010011001067,3601000
360010011001068,3601000
360010011001069,3601000
360010011001070,3601000
360010011001071,3601000
360010011001072,3601000
360010011001073,3601000
360010011001074,3601000
360010011001075,3601000
360010011001076,3601000
360010011001077,3601000
360010011001078,3601000
360010011001079,3601000
360010011001080,3601000
360010011001081,3601000
360010011001082,3601000
360010011001083,3601000
360010011001084,3601000
360010011001085,3601000
360010011001086,3601000
360010011001087,3601000
360010011001088,3601000
360010011001089,3601000
360010011001090,3601000
360010011001091,3601000
360010011001092,3601000
360010011001093,3601000
360010011001094,3601000
